"[채움] (뚝)사골떡만두국, 잡곡밥, 떡갈비데리야끼조림, 두부무조림, 된장깻잎지, 배추김치","[채움] (뚝)돈까스김치나베, 잡곡밥, 유부된장국, 양송이미트볼케찹조림, 콩나물무침, 깍두기","[채움] (뚝)닭감자매운조림, 잡곡밥, 쇠고기미역국, 돈육땅콩강정, 호박새우젓볶음, 배추김치","[채움] (뚝)부대찌개&라면사리, 잡곡밥, 돈사태떡찜, 만두탕수, 참나물무침, 깍두기","[채움] (뚝)육개장&당면사리, 잡곡밥, 너비아니구이*베이비채소, 부들어묵조림, 올방개묵들깨무침, 깍두기"
"[마루] 돈까스오므라이스, 유부된장국, 비엔나파인애플볶음, 단호박고구마범벅샐러드, 요구르트, 배추김치","[마루] 참치캔야채비빔밥, 새우튀김우동, 꽈배기, 오복지&락교, 화인쿨, 깍두기","[마루] 잔치국수, 충무김밥&오징어무침, 너비아니구이*베이비채소, 미니붕어빵+요구르트, 배추김치","[마루] (철판)치즈닭갈비, 후리가케밥, 얼갈이된장국, 생선까스&타르타르소스, 양배추콘샐러드, 쥬시쿨, 배추김치","[마루] 마파두부덮밥, 달걀탕, 고추잡채&꽃빵, 군만두*초간장, 짜샤이무침, 깍두기"
"[채움] (뚝)순두부김치찌개, 잡곡밥, 닭가슴살간장떡볶음, 탕수육, 돌나물&초고추장, 배추김치","[채움] (뚝)육개장&당면사리, 잡곡밥, 동그랑땡전, 알감자조림, 참나물생채, 깍두기","[채움] (뚝)소고기된장찌개, 잡곡밥, 모듬장조림, 부추스크램블에그, 콩나물매콤무침, 배추김치","[채움] 쇠고기콩나물밥&달걀후라이, 재첩국, 메밀전병, 파래김구이*양념장, 오징어젓갈무침, 배추김치","[채움] (뚝)설렁탕&소면사리, 잡곡밥, 두부무조림, 돈육땅콩강정, 근대나물, 깍두기"
"[채움] 고추장제육불고기, (뚝)바지락된장찌개, 잡곡밥, 달걀찜, 양배추쌈&쌈장, 배추김치","[채움] (뚝)콩비지찌개, 잡곡밥, 능성어튀김, 후랑크소시지케찹조림, 모듬묵*새싹양념장, 깍두기","[채움] 제육김치덮밥, 유부된장국, 감자크로켓&케찹, 참치마카로니샐러드, 숙주나물무침, 깍두기","[채움] (뚝)사골우거지탕, 잡곡밥, 치킨가라아게강정, 감자채볶음, 연두부*양념장, 깍두기","[채움] 소고기마늘볶음밥&달걀후라이, 우동국물, 핫도그*케찹, 꽃맛살메추리알샐러드, 푸딩, 배추김치"
"[마루] 베트남쌀국수, 나시고랭&달걀후라이, 지마구, 두부샐러드&참깨드레싱, 황도*후르츠칵테일, 배추김치","[마루] 삼색소보루비빔밥, 유부된장국, 순살치킨탕수, 참치푸실리샐러드, 쥬시쿨(자두맛), 깍두기","[마루] 타워함박스테이크, 까르보나라스파게티, 후리가케밥, 크림스프, 멕시칸샐러드, 요구르트, 배추김치","[마루] (뚝)날치알밥, 모밀국수, 야채튀김, 오복채*락교, 쥬시쿨(청포도), 배추김치","[마루] 눈꽃치즈돈까스, 김치볶음밥&달걀후라이, 유부된장국, 그린샐러드*키위D, 요구르트, 깍두기"
"[채움] (뚝)제육고추장불고기, 잡곡밥, 얼갈이된장국, 달걀찜, 숙주게맛살무침, 된장깻잎지, 배추김치","[채움] (뚝)콩비지찌개, 잡곡밥, 너비아니구이*베이비채소, 볼어묵조림, 브로콜리&다시마초회, 깍두기","[채움] 곤드레나물밥, (뚝)강된장찌개, 삼색수제비국, 감자전, 파래김구이, 도토리묵야채무침, 배추김치","[채움] 사골떡만두국, 잡곡밥, 잡채, 오징어김치전, 진미채야채무침, 배추김치","[채움] (뚝)닭감자매운조림, 잡곡밥, 콩나물국, 미트볼케찹조림, 열무된장나물, 깍두기"
"[채움] (뚝)참치김치찌개&당면사리, 잡곡밥, 순대야채볶음, 옛날소시지전, 콩나물무침, 깍두기","[채움] (뚝)전주식콩나물해장국&달걀, 잡곡밥, 돈육김치볶음, 감자조림, 돌나물&초고추장, 깍두기","[채움] 영양닭죽, 추가밥, 나박물김치, 메밀전병, 마늘쫑양념무침, 배추김치","[채움] 새우튀김카레라이스, 우동국물, 비엔나소시지조림, 단호박범벅샐러드, 단무지치커리유자무침, 배추김치","[채움] (뚝)김치순두부찌개, 잡곡밥, 생선까스&타르타르소스, 부들어묵조림, 오이지무침, 깍두기"
"[마루] 중국식달걀볶음밥*짜장소스, 짬뽕수제비국, 후르츠탕수육, 물만두찜*초간장, 단무지, 배추김치","[마루] 참치회덮밥, 왕새우튀김우동, 아이스경단, 초생강*락교, 요구르트, 배추김치","[마루] 알떡함박스테이크&달걀후라이&단호박고구마범벅, 완두콩스프, 클링클컷*케찹, 방울양상추샐러드*포도D, 오이피클*할라피뇨, 깍두기","[마루] 교자칼국수, 미니꽁보리열무비빔밥, 메밀전병, 오징어젓갈무침, 피크닉, 배추김치","[마루] 버터장조림비빔밥, 우동국물, 국물떡볶이&김말이튀김, 고구마맛탕, 단무지, 배추김치"
"[채움] (뚝)바지락된장찌개, 잡곡밥, 어묵메추리알조림, 생선까스&타르타르소스, 건파래부추무침, 배추김치","[채움] (뚝)제육볶음&콩나물, 잡곡밥, 건새우아욱국, 동그랑땡전, 참나물무침, 배추김치","[채움] (뚝)순대국밥, 잡곡밥, 참치김치볶음, 후랑크소시지조림, 콩나물무침, 깍두기","[채움] (뚝)부대찌개&라면사리, 잡곡밥, 야채달걀말이, 감자채맛살볶음, 치커리사과생채, 깍두기","[채움] 홍합탕, 잡곡밥, 돈육두루치기, 달걀찜, 브로콜리&다시마초회, 배추김치"
"[채움] (뚝)춘천닭갈비, 잡곡밥, 들깨미역국, 두부달걀전*양념장, 막국수야채무침, 배추김치","[채움] 날치알김치볶음밥&달걀후라이, 유부된장국, 핫도그&케찹, 참치마카로니샐러드, 푸딩, 배추김치","[채움] 콩나물밥&양념장, (뚝)꽁치캔김치조림, 조랭이떡국, 멘치까스*참깨소스, 도토리묵*양념장, 배추김치","[채움] (뚝)돈까스김치나베, 잡곡밥, 얼갈이된장국, 옛날소시지전, 오이부추무침, 깍두기","[채움] (뚝)사골우거지탕, 잡곡밥, 떡갈비데리야끼조림, 호박새우젓볶음, 유채나물, 깍두기"
