"[Dam-A] (뚝)만두육개장, 미니돈가스&케찹, 두부계란구이*양념장, 오이지무침, 포기김치, 기장밥",~~ 한글날 ~~,"[Dam-A] (뚝)순두부찌개, 광동식탕수육, 볼어묵곤약조림, 콩나물무침, 포기김치, 흑미밥","[Dam-A] 뚝배기제육김치찌개, 고갈비구이, 비엔나소시지볶음, 숙주삼색나물, 깍두기, 통밀밥","[Dam-A] 철판제육볶음*눈꽃치즈, 시금치된장국, 버섯잡채, 무생채, 포기김치, 보리밥"
"[Pangeos] 오므라이스*고기산적구이, 유부국수, 매콤떡볶이, 오이지무침, 포기김치, 요구르트",,"[Pangeos] 떡갈비정식, 꼬치어묵국수, 후리가케밥, 마카로니샐러드, 피클&할라피뇨, 화인쿨","[Pangeos] *아라마크스페셜* 순살돈가스&생선가스&메가크런치&야채볶음밥, 크림스프, 오이피클&할라피뇨, 이색푸딩","[Pangeos] 순살치킨데리야끼파채무침, 김치볶음밥*김가루, 미소장국, 콘샐러드, 피클&할라피뇨, 요구르트"
"[Pangeos] 철판미트볼치즈오븐구이, 아라비아따파스타, 미소장국, 김가루밥, 단호박샐러드, 피클*할라피뇨, 미니호빵",,"[Dam-A] (뚝)콩불비빔밥, 미역국, 동그랑땡전, 고구마맛탕, 포기김치, 바나나1/2","[Dam-A] 철판청양풍닭조림, 콩나물맑은국, 알옥수수김치전, 미역줄기볶음, 포기김치, 통밀밥","[Dam-A] (뚝)설렁탕&소면, 미트볼조림, 도토리묵야채무침, 브로콜리*초고추장, 포기김치, 쌀밥"
,,"[Pangeos] 치킨커틀렛&베이비채소, 교자칼국수, 후리가케밥, 고구마맛탕, 피클&할라피뇨, 바나나1/2","[Pangeos] 폭찹스테이크덮밥, 어묵우동, 춘권튀김, 참치펜네, 피클&할라피뇨, 새우칩",
"[Dam-A] (뚝)황태해장국, 제육김치볶음&온두부, 볼어묵간장조림, 양념깻잎지, 깍두기, 수수밥","[Dam-A] 철판제육볶음&파채, 시금치된장국, 두부구이*양념장, 콩나물무침, 포기김치, 통밀밥","[Dam-A] (뚝)닭개장&당면사리, 자반고등어구이*레몬, 후랑크야채볶음, 오이지무침, 포기김치, 차조밥","[Dam-A] 뚝배기순두부찌개, 제육데리야끼강정&파채, 부들어묵매콤볶음, 미역줄기볶음, 포기김치, 완두콩밥","[Dam-A] 철판춘천닭갈비, 콩나물국, 건파래자반, 연두부샐러드&오리엔탈D, 포기김치, 렌틸콩밥"
"[Pangeos] 치킨커틀렛&베이비채소, 야채볶음밥&칠리소스, 크림스프, 감자튀김&케찹, 피클&할라피뇨, 화인쿨","[Pangeos] 그릴소세지플레이트, 김치볶음밥*맛김가루, 미니유부우동, 참치펜네, 피클&할라피뇨, 요구르트","[Pangeos] 슈니첼*레몬*베이비채소, 미트소스스파게티, 미소장국, 후리가케밥, 단호박샐러드, 피클&할라피뇨","[Pangeos] 오므라이스&떡갈비조림, 잔치국수, 사모사튀김, 미역줄기볶음, 포기김치, 레몬에이드","[Pangeos] 마파두부덮밥, 짜장면, 팽이장국, 모듬탕수, 단무지무침, 포기김치"
"[Pangeos] 참치마요덮밥, 유린만두샐러드, 유부장국, 매콤떡볶이, 포기김치, 바나나1/2","[Dam-A] (뚝)순살안동찜닭, 미역국, 미니돈가스&케찹, 돌나물적채무침, 포기김치, 흑미밥","[Dam-A] (뚝)뼈다귀해장국, 미트볼조림, 알옥수수김치전, 숙주삼색나물, 포기김치, 통밀밥","[Dam-A] (뚝)참치김치찌개, 제육순대볶음, 청포묵김가루무침, 호박새우젓볶음, 깍두기, 기장밥","[Dam-A] (뚝)날치알밥, 얼갈이된장국, 비엔나떡강정, 고추지무침, 깍두기, 건빵튀김"
,"[Pangeos] 에그떡갈비스테이크, 로제파스타, 미소장국, 콘샐러드, 피클&할라피뇨, 이색푸딩","[Pangeos] 순살치킨&양념치킨&베이비채소, 칼국수, 김가루밥, 마카로니후르츠샐러드, 산고추지, 새우칩","[Pangeos] 카레라이스&돈가스, 꼬치어묵탕, 춘권튀김, 단무지, 포기김치, 요구르트",
"[Dam-A] 뚝배기순두부찌개, 파채돈육데리야끼볶음, 동그랑땡전, 돌나물적채무침, 포기김치, 흑미밥","[Dam-A] 뚝배기설렁탕&소면, 고갈비구이, 후랑크볶음, 숙주삼색나물, 깍두기, 완두콩밥","[Dam-A] 뚝배기전주비빔밥*계란F, 미역국, 순대떡강정, 미역줄기볶음, 포기김치, 바나나1/2","[Dam-A] (뚝)제육버섯불고기*당면, 열무된장국, 옛날소세지전&케찹, 콩나물무침, 포기김치, 기장밥","[Dam-A] 황태해장국, 광동식탕수육, 버섯잡채, 양념고추지, 포기김치, 수수밥"
"[Pangeos] 치킨커틀렛&눈꽃치즈, 김치볶음밥*맛김가루, 미니우동, 콘샐러드, 피클&할라피뇨, 새우칩","[Pangeos] 가츠돈가스카레덮밥, 호박칼국수, 메가크런치, 단무지무침, 포기김치, 화인쿨","[Pangeos] 에그떡갈비스테이크, 볶음우동, 유부장국, 후리가케밥, 피클&할라피뇨, 바나나1/2","[Pangeos] 오므라이스&코코넛새우가스, 유부우동, 춘권튀김, 산고추지, 포기김치, 레몬에이드","[Pangeos] 참치김치마요덮밥, 교자칼국수, 김말이튀김, 후르츠마카로니샐러드, 피클*할라피뇨, 요구르트"
